date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:28:20	293/293	---M--	200	added ('OK')	text/plain	date:Thu,%2014%20Sep%202023%2008:42:13%20GMT	https://umrahcompanions.com/robots.txt		(from )
18:28:22	207525/207525	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jul%202025%2013:28:20%20GMT	https://umrahcompanions.com/	C:/My%20Web%20Sites/ucold/umrahcompanions.com/index.html	(from )
18:28:23	11/11	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%22b-EFiDB1U+dmqzx9Mo2UjcZ1SJPO8%22	https://sibautomation.com/sa.js?key=	C:/My%20Web%20Sites/ucold/sibautomation.com/sa.008e2.delayed	(from https://umrahcompanions.com/)
18:28:23	302871/302871	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Jul%202025%2013:28:22%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/ucold/connect.facebook.net/en_US/fbevents.js	(from https://umrahcompanions.com/)
18:28:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Jul%202025%2013:28:23%20GMT	https://umrahcompanions.com/images/seo_images/30038.umrah-packages-2022---umrah-tickets-|-umrah-companions.jpeg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/images/seo_images/30038.umrah-packages-2022---umrah-tickets-_-umrah-companions.jpeg	(from https://umrahcompanions.com/)
18:28:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Jul%202025%2013:28:23%20GMT	https://umrahcompanions.com/images/seo_images/85772.customized-umrah-package-builder-|-umrah-companions.jpeg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/images/seo_images/85772.customized-umrah-package-builder-_-umrah-companions.jpeg	(from https://umrahcompanions.com/)
18:28:24	21203/21203	---M--	200	added ('OK')	image/x-icon	date:Wed,%2019%20Jul%202023%2007:04:54%20GMT	https://umrahcompanions.com/assets/images/favicon.ico	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/images/favicon.ico	(from https://umrahcompanions.com/)
18:28:25	1705/1705	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Oct%202023%2014:00:13%20GMT	https://umrahcompanions.com/assets/frontend/css/locomotive-scroll.css	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/frontend/css/locomotive-scroll.css	(from https://umrahcompanions.com/)
18:28:25	4508/4508	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Jul%202023%2007:07:08%20GMT	https://umrahcompanions.com/assets/backoffice/vendors/jquery-toast-plugin/dist/jquery.toast.min.css	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/backoffice/vendors/jquery-toast-plugin/dist/jquery.toast.min.css	(from https://umrahcompanions.com/)
18:28:26	25254/25254	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Oct%202023%2014:00:13%20GMT	https://umrahcompanions.com/assets/frontend/css/intlTelInput.css	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/frontend/css/intlTelInput.css	(from https://umrahcompanions.com/)
18:28:26	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/ucold/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://umrahcompanions.com/)
18:28:27	141811/141811	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Oct%202023%2014:00:13%20GMT	https://umrahcompanions.com/assets/frontend/css/materialize.min.css	C:/My%20Web%20Sites/ucold/umrahcompanions.com/assets/frontend/css/materialize.min.css	(from https://umrahcompanions.com/)
